[stage1] city=porto trajs=200000 roads=154144 batch=32 layers=4 bf16=True device=cuda
epoch 1 step 009700  total 0.3120  mgm 0.0056  contrast 0.2986  next 0.0078  lr 2.34e-04
epoch 1 step 009750  total 0.2652  mgm 0.0030  contrast 0.2595  next 0.0027  lr 2.34e-04
epoch 1 step 009800  total 0.2342  mgm 0.0026  contrast 0.2276  next 0.0039  lr 2.33e-04
epoch 1 step 009850  total 0.3094  mgm 0.0022  contrast 0.3046  next 0.0026  lr 2.32e-04
epoch 1 step 009900  total 0.2603  mgm 0.0033  contrast 0.2530  next 0.0040  lr 2.32e-04
epoch 1 step 009950  total 0.2806  mgm 0.0017  contrast 0.2761  next 0.0028  lr 2.31e-04
epoch 1 step 010000  total 0.2603  mgm 0.0023  contrast 0.2550  next 0.0029  lr 2.30e-04
epoch 1 step 010050  total 0.3186  mgm 0.0030  contrast 0.3111  next 0.0045  lr 2.30e-04
epoch 1 step 010100  total 0.2682  mgm 0.0087  contrast 0.2484  next 0.0111  lr 2.29e-04
epoch 1 step 010150  total 0.2355  mgm 0.0038  contrast 0.2242  next 0.0075  lr 2.28e-04
epoch 1 step 010200  total 0.3003  mgm 0.0020  contrast 0.2951  next 0.0033  lr 2.28e-04
epoch 1 step 010250  total 0.2837  mgm 0.0031  contrast 0.2777  next 0.0029  lr 2.27e-04
epoch 1 step 010300  total 0.2189  mgm 0.0038  contrast 0.2111  next 0.0041  lr 2.27e-04
epoch 1 step 010350  total 0.2212  mgm 0.0018  contrast 0.2162  next 0.0032  lr 2.26e-04
epoch 1 step 010400  total 0.2617  mgm 0.0037  contrast 0.2527  next 0.0052  lr 2.25e-04
epoch 1 step 010450  total 0.2160  mgm 0.0019  contrast 0.2111  next 0.0031  lr 2.25e-04
epoch 1 step 010500  total 0.2137  mgm 0.0061  contrast 0.2023  next 0.0053  lr 2.24e-04
epoch 1 step 010550  total 0.2446  mgm 0.0040  contrast 0.2369  next 0.0036  lr 2.23e-04
epoch 1 step 010600  total 0.2234  mgm 0.0021  contrast 0.2180  next 0.0032  lr 2.23e-04
epoch 1 step 010650  total 0.2488  mgm 0.0032  contrast 0.2414  next 0.0042  lr 2.22e-04
epoch 1 step 010700  total 0.2730  mgm 0.0027  contrast 0.2669  next 0.0033  lr 2.21e-04
epoch 1 step 010750  total 0.2499  mgm 0.0050  contrast 0.2391  next 0.0058  lr 2.21e-04
epoch 1 step 010800  total 0.2588  mgm 0.0013  contrast 0.2553  next 0.0022  lr 2.20e-04
epoch 1 step 010850  total 0.2373  mgm 0.0023  contrast 0.2291  next 0.0059  lr 2.19e-04
epoch 1 step 010900  total 0.2459  mgm 0.0058  contrast 0.2355  next 0.0047  lr 2.19e-04
epoch 1 step 010950  total 0.2327  mgm 0.0016  contrast 0.2283  next 0.0027  lr 2.18e-04
epoch 1 step 011000  total 0.2048  mgm 0.0029  contrast 0.1970  next 0.0048  lr 2.17e-04
epoch 1 step 011050  total 0.2567  mgm 0.0017  contrast 0.2522  next 0.0028  lr 2.17e-04
epoch 1 step 011100  total 0.3349  mgm 0.0026  contrast 0.3277  next 0.0045  lr 2.16e-04
epoch 1 step 011150  total 0.2842  mgm 0.0025  contrast 0.2777  next 0.0040  lr 2.15e-04
epoch 1 step 011200  total 0.2422  mgm 0.0028  contrast 0.2355  next 0.0039  lr 2.15e-04
epoch 1 step 011250  total 0.2813  mgm 0.0059  contrast 0.2544  next 0.0210  lr 2.14e-04
epoch 1 step 011300  total 0.2565  mgm 0.0084  contrast 0.2392  next 0.0088  lr 2.13e-04
